 DATE,                                     CHEMICAL ANALYSIS,,,,,,,,Avl. lime,Basicity  (B2),     SCREEN  ANALYSIS,,,,,%MPS,TI,RDI,RI,MgO/Al2O3
,%T(Fe),%FeO,%CaO,%MgO,%SiO2,%Al2O3,%K2O,% P,Avl. lime,Basicity  (B2),%+40MM,%40+25MM,%25+10MM,%10+5MM,%5 MM,%MPS,TI,RDI,RI,MgO/Al2O3
1-Apr-23,51.51,10.67,13.71,2.26,6.33,3.48,0.10,0.09,7.39,2.17,8.15,8.71,43.85,32.94,6.35,16.80,78.67,23.20,68.16,0.65
2-Apr-23,51.50,10.70,13.75,2.28,6.31,3.48,0.10,0.09,7.45,2.18,7.70,9.50,43.32,33.12,6.36,16.78,78.88,23.10,68.47,0.66
3-Apr-23,51.51,10.66,13.75,2.30,6.32,3.47,0.10,0.09,7.43,2.18,7.80,9.98,42.90,33.08,6.25,16.90,78.46,23.10,67.86,0.66
4-Apr-23,51.50,10.55,13.74,2.30,6.31,3.48,0.10,0.09,7.43,2.18,7.88,9.14,43.30,33.14,6.54,16.74,77.76,23.40,68.09,0.66
5-Apr-23,51.50,10.68,13.77,2.29,6.30,3.49,0.10,0.09,7.47,2.19,7.66,9.69,43.31,33.14,6.21,16.81,78.72,23.20,67.89,0.66
6-Apr-23,51.49,10.64,13.77,2.29,6.32,3.48,0.10,0.09,7.45,2.18,8.06,9.37,43.46,32.87,6.24,16.90,78.67,23.20,67.61,0.66
7-Apr-23,51.52,10.76,13.74,2.32,6.25,3.46,0.10,0.09,7.50,2.20,7.85,9.60,43.49,33.03,6.04,16.89,78.52,23.00,67.96,0.67
8-Apr-23,51.55,10.68,13.72,2.30,6.26,3.46,0.10,0.09,7.47,2.19,7.73,9.32,43.22,33.14,6.60,16.72,78.47,23.30,67.86,0.67
9-Apr-23,51.87,10.78,13.61,2.25,6.11,3.39,0.09,0.08,7.51,2.23,7.65,9.20,43.42,33.30,6.42,16.61,78.72,23.20,68.42,0.66
10-Apr-23,51.83,10.71,13.63,2.25,6.29,3.38,0.10,0.09,7.34,2.17,7.54,9.42,43.73,33.06,6.24,16.75,79.16,23.30,67.52,0.67
11-Apr-23,51.81,10.66,13.50,2.29,6.35,3.37,0.09,0.09,7.15,2.13,8.33,9.72,42.63,33.17,6.15,17.01,79.04,23.30,68.53,0.68
12-Apr-23,52.01,10.68,13.41,2.18,6.19,3.38,0.08,0.08,7.22,2.17,7.57,9.46,43.48,32.99,6.51,16.73,79.03,23.30,68.39,0.65
13-Apr-23,52.09,10.53,13.13,2.19,6.17,3.42,0.09,0.09,6.96,2.13,8.14,9.56,42.75,32.81,6.75,16.88,78.22,23.20,68.16,0.64
14-Apr-23,52.11,10.49,13.15,2.23,6.20,3.43,0.09,0.09,6.95,2.12,7.88,9.56,42.89,33.12,6.55,16.81,78.42,23.40,67.66,0.65
15-Apr-23,52.03,10.46,13.22,2.18,6.16,3.44,0.10,0.09,7.07,2.15,7.18,9.34,43.94,32.97,6.59,16.59,78.27,23.60,67.71,0.63
16-Apr-23,51.99,10.52,13.04,2.22,6.20,3.41,0.10,0.09,6.84,2.10,7.68,9.75,42.77,33.08,6.71,16.76,78.02,23.40,67.99,0.65
17-Apr-23,52.00,10.65,12.91,2.18,6.16,3.37,0.10,0.09,6.75,2.10,7.79,9.62,43.05,32.94,6.61,16.80,78.72,23.10,68.17,0.65
18-Apr-23,51.98,10.62,12.93,2.17,6.16,3.36,0.10,0.09,6.77,2.10,7.69,9.28,43.82,32.77,6.44,16.76,78.82,23.30,68.48,0.65
19-Apr-23,52.03,10.57,13.02,2.19,6.16,3.40,0.10,0.09,6.86,2.11,8.26,9.89,42.58,33.04,6.23,17.02,78.54,23.25,67.43,0.64
20-Apr-23,52.14,10.63,13.01,2.20,6.15,3.41,0.10,0.09,6.86,2.12,8.33,9.47,43.00,32.75,6.46,16.97,78.14,23.10,68.05,0.65
21-Apr-23,52.20,10.60,13.11,2.17,6.16,3.37,0.10,0.09,6.95,2.13,7.79,9.64,43.26,32.90,6.42,16.84,77.99,23.20,68.26,0.64
22-Apr-23,52.17,10.62,13.14,2.11,6.18,3.38,0.11,0.09,6.96,2.13,7.62,9.65,43.04,33.07,6.63,16.74,78.78,23.40,67.82,0.63
23-Apr-23,52.17,10.66,13.09,2.16,6.18,3.37,0.10,0.09,6.91,2.12,7.71,9.78,43.61,32.85,6.06,16.89,77.92,23.25,67.70,0.64
24-Apr-23,52.08,10.76,13.14,2.23,6.09,3.37,0.09,0.09,7.05,2.16,7.81,9.52,43.61,33.02,6.03,16.87,78.24,22.80,68.08,0.66
25-Apr-23,52.14,10.61,13.10,2.22,6.20,3.38,0.10,0.09,6.90,2.11,7.85,9.77,43.10,33.03,6.26,16.88,78.42,23.40,67.22,0.65
