,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,Moisture ,Furnace Temp.,WGF Speed (rpm),M/c speed (m/min),Cooler Speed,BTP Temp.,WB 1 Press. (mbar),ESP Inlet Temp. ,ESP Inlet Press. (mbar),Product Temp,%MPS,%6.3MM(TI),Carbon Rate,Fines Generation,RDI,RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-May-25,5.92,1140.75,942.00,2.60,0.86,418.58,15.70,142.08,127.92,76.50,16.81,78.71,51.56,15.97,23.00,70.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-May-25,5.21,1135.75,921.08,2.49,0.85,409.92,15.66,150.25,128.17,70.42,16.77,78.85,48.93,16.35,23.20,71.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-May-25,5.32,1129.00,936.67,2.56,0.85,404.83,16.09,145.58,129.50,75.08,16.67,78.10,47.53,15.15,23.60,71.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-May-25,5.24,1129.33,948.58,2.60,0.87,402.75,16.14,147.17,134.33,74.17,16.75,79.35,48.47,14.70,23.00,71.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-May-25,5.41,1124.83,891.67,2.44,0.81,409.83,14.97,155.33,129.67,71.83,16.77,79.04,47.39,14.45,23.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-May-25,5.89,1130.58,910.92,2.51,0.82,411.17,15.30,155.08,123.75,76.75,16.68,78.88,43.82,13.95,23.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-May-25,5.52,1131.58,903.42,2.42,0.81,416.75,15.73,151.33,126.83,72.58,16.96,78.64,53.13,14.00,23.00,71.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-May-25,5.87,1126.33,910.64,2.41,0.81,418.17,15.46,152.00,125.33,72.75,16.91,78.87,45.09,15.20,23.00,70.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-May-25,5.27,1109.00,835.17,2.10,0.72,413.33,15.60,154.25,117.42,66.83,16.86,79.45,46.09,14.23,23.20,71.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-May-25,5.50,1113.08,929.75,2.42,0.80,391.17,16.50,152.83,130.08,76.00,16.79,78.47,44.98,13.71,23.00,71.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-May-25,5.15,1076.67,930.83,2.40,0.79,378.42,17.23,154.58,133.67,79.58,17.04,79.07,45.61,14.00,22.80,71.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-May-25,5.45,1134.92,908.58,2.43,0.80,420.58,15.88,156.75,122.92,76.83,16.77,80.11,45.89,14.10,23.20,72.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
